trust_code,trust_name,latitude,longitude,region,admin_district,postcode,coordinate_source
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,53.655489,-1.816339,Yorkshire and The Humber,Kirklees,HD33EA,NHS ODS Trust postcode geocoded with postcodes.io
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,52.175003,0.14065,East of England,Cambridge,CB20QQ,NHS ODS Trust postcode geocoded with postcodes.io
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,52.184505,0.188329,East of England,South Cambridgeshire,CB215EF,NHS ODS Trust postcode geocoded with postcodes.io
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,51.484309,-0.18162,London,Kensington and Chelsea,SW109NH,NHS ODS Trust postcode geocoded with postcodes.io
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,53.235916,-1.394195,East Midlands,Chesterfield,S445BL,NHS ODS Trust postcode geocoded with postcodes.io
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,53.208816,-2.897886,North West,Cheshire West and Chester,CH21UL,NHS ODS Trust postcode geocoded with postcodes.io
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,54.530385,-1.563742,North East,Darlington,DL36HX,NHS ODS Trust postcode geocoded with postcodes.io
RJ6,CROYDON HEALTH SERVICES NHS TRUST,51.389128,-0.108758,London,Croydon,CR77YE,NHS ODS Trust postcode geocoded with postcodes.io
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",55.006495,-1.633115,North East,Newcastle upon Tyne,NE33XT,NHS ODS Trust postcode geocoded with postcodes.io
RN7,DARTFORD AND GRAVESHAM NHS TRUST,51.434952,0.258673,South East,Dartford,DA28DA,NHS ODS Trust postcode geocoded with postcodes.io
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,53.530805,-1.108942,Yorkshire and The Humber,Doncaster,DN25LT,NHS ODS Trust postcode geocoded with postcodes.io
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,50.712931,-2.446934,South West,Dorset,DT12JY,NHS ODS Trust postcode geocoded with postcodes.io
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,51.924246,-0.211889,East of England,Stevenage,SG14AB,NHS ODS Trust postcode geocoded with postcodes.io
RJN,EAST CHESHIRE NHS TRUST,53.262339,-2.141072,North West,Cheshire East,SK103BL,NHS ODS Trust postcode geocoded with postcodes.io
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,51.266593,1.087113,South East,Canterbury,CT13NG,NHS ODS Trust postcode geocoded with postcodes.io
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,53.735575,-2.462715,North West,Blackburn with Darwen,BB23HH,NHS ODS Trust postcode geocoded with postcodes.io
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,51.910174,0.899242,East of England,Colchester,CO45JL,NHS ODS Trust postcode geocoded with postcodes.io
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,50.88769,0.561978,South East,Hastings,TN377PT,NHS ODS Trust postcode geocoded with postcodes.io
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,51.380188,-0.183708,London,Sutton,SM51AA,NHS ODS Trust postcode geocoded with postcodes.io
