model,model_name,specialty_code,specialty_name,n_rows,mae,rmse,smape,wape,pinball_q10,pinball_q50,pinball_q90,pinball_mean,p10_p90_coverage,average_interval_width
seasonal_naive_12m,seasonal_naive_12m,410,Rheumatology Service,1512,227.2387566137566,327.1147224853487,28.434281653557463,23.63571074295455,64.3345634920635,113.6193783068783,69.08723544973543,82.34705908289241,0.9378306878306878,1180.9792328042329
TCN,TCN,410,Rheumatology Service,1512,235.64095836026328,327.09828890069747,27.400700530184952,24.509646215246946,36.33102202812831,117.82047918013164,105.85542639462405,86.66897586762799,0.8981481481481481,1349.6169391012695
historical_seasonal_mean,historical_seasonal_mean,410,Rheumatology Service,1512,329.718937914672,497.3552373873466,38.857557473436245,34.29494844610321,65.20858498152349,164.859468957336,194.15757128159908,141.40854174015286,0.8525132275132276,2286.247316284539
naive_last_value,naive_last_value,110,Trauma and Orthopaedic Service,3467,244.30631670031727,449.43251915083147,15.130610540819108,8.30462942818056,76.65653014133257,122.15315835015863,71.66833285261033,90.15934044803384,0.8205941736371503,779.2864147678108
hist_gradient_boosting,hist_gradient_boosting,110,Trauma and Orthopaedic Service,3467,295.79029571497455,601.3927059947409,16.025311833472777,10.054708480493488,77.39138870354722,147.89514785748727,71.43788648977524,98.90814101693658,0.871935390827805,1234.799005364567
TCN,TCN,110,Trauma and Orthopaedic Service,3467,378.02818444072943,772.5113075568139,18.14570566869701,12.850195719823043,110.95937640473724,189.01409222036472,273.28658578210855,191.08668480240348,0.9578886645514856,3816.6508750805497
seasonal_naive_12m,seasonal_naive_12m,110,Trauma and Orthopaedic Service,3467,419.1274877415633,865.2989504926493,22.195698883995256,14.247271686911128,123.85310643207384,209.56374387078165,151.09091145082203,161.50258725122586,0.8194404384193827,1173.0294490914334
historical_seasonal_mean,historical_seasonal_mean,110,Trauma and Orthopaedic Service,3467,933.2707884086238,1646.7410530003174,43.31912476182709,31.724386657536897,127.23059481689032,466.6353942043119,343.6601072699053,312.5086987637025,0.8413614075569656,2282.263533062297
naive_last_value,naive_last_value,101,Urology Service,2374,207.4022746419545,366.0015784581631,19.372362458635816,10.551493641112108,62.99016427969672,103.70113732097724,56.43717354675652,74.37615838247683,0.8475147430497051,713.1992417860151
hist_gradient_boosting,hist_gradient_boosting,101,Urology Service,2374,227.80075052191748,393.6012794808236,19.7764602416869,11.5892565533433,48.49168993616124,113.90037526095874,58.53935650429471,73.64380723380488,0.7910699241786016,772.169757341427
TCN,TCN,101,Urology Service,2374,297.3443361489634,538.413641717458,23.320364785264307,15.12725392000996,66.7580268643238,148.6721680744817,199.5714433173924,138.33387941873264,0.9439764111204718,2628.748894354327
seasonal_naive_12m,seasonal_naive_12m,101,Urology Service,2374,303.3235046335299,497.66756226157634,25.452345309530244,15.431441317920394,86.18008845829824,151.66175231676496,86.54759898904801,108.12981325470372,0.8525695029486099,1086.2305391743892
historical_seasonal_mean,historical_seasonal_mean,101,Urology Service,2374,586.2689780826681,1037.1927106343862,38.21238372561938,29.826159837926987,75.94748952942594,293.13448904133406,222.617605942686,197.2331948378153,0.9056444818871104,2265.734751073134
