"RGZ","QUEEN MARY'S SIDCUP NHS TRUST","Y56","QKK","QUEEN MARY'S HOSPITAL","FROGNAL AVENUE","","SIDCUP","","DA14 6LT","19930401","20090331","","","","","","020 8302 2678","","","","1","","H","","",""
"RH5","SOMERSET NHS FOUNDATION TRUST","Y58","QSL","TRUST MANAGEMENT","LYDEARD HOUSE","MUSGROVE PARK HOSPITAL","TAUNTON","","TA1 5DA","19930401","","","","","","","01278 432000","","","","1","","K","","",""
"RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST","Y58","QJK","ROYAL DEVON UNIVERSITY NHS FT","BARRACK ROAD","","EXETER","","EX2 5DW","19930401","","","","","","","01392 411611","","","","1","","K","","",""
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","Y60","QT1","THE RESOURCE, TRUST HQ","DUNCAN MACMILLAN HOUSE","PORCHESTER ROAD","NOTTINGHAM","","NG3 6AA","20010401","","","","","","","0115 969 1300","","","","1","","E","","",""
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","Y59","QRL","SOUTHAMPTON GENERAL HOSPITAL","TREMONA ROAD","","SOUTHAMPTON","","SO16 6YD","19930401","","","","","","","023 8077 7222","","","","1","","J","","",""
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","Y63","QF7","NORTHERN GENERAL HOSPITAL","HERRIES ROAD","","SHEFFIELD","","S5 7AU","20010401","","","","","","","0114 243 4343","","","","1","","D","","",""
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST","Y59","QRL","QUEEN ALEXANDRA HOSPITAL","SOUTHWICK HILL ROAD","COSHAM","PORTSMOUTH","","PO6 3LY","19930401","","","","","","","023 9228 6000","","","","1","","J","","",""
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","Y59","S0E4D","ROYAL BERKSHIRE HOSPITAL","LONDON ROAD","","READING","","RG1 5AN","19930401","","","","","","","0118 322 5111","","","","1","","J","","",""
"RHX","OXFORDSHIRE LEARNING DISABILITY NHS TRUST","Y59","S0E4D","SLADE HOUSE","HORSPATH DRIFTWAY","HEADINGTON","OXFORD","","OX3 7JH","19930401","20121101","","","","","","01865 747455","","","","1","","J","","",""
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","Y56","QKK","ST THOMAS' HOSPITAL","WESTMINSTER BRIDGE ROAD","","LONDON","","SE1 7EH","19930401","","","","","","","020 7188 7188","","","","1","","H","","",""
"RJ2","LEWISHAM AND GREENWICH NHS TRUST","Y56","QKK","UNIVERSITY HOSPITAL LEWISHAM","LEWISHAM HIGH STREET","","LONDON","","SE13 6LH","19930401","","","","","","","020 8333 3000","","","","1","","H","","",""
"RJ5","ST MARY'S NHS TRUST","Y56","Z9B2Z","ACROW BUILDING","PRAED STREET","","LONDON","","W2 1NY","19930401","20070930","","","","","","020 7886 6666","","","","1","","H","","",""
"RJ6","CROYDON HEALTH SERVICES NHS TRUST","Y56","QWE","CROYDON UNIVERSITY HOSPITAL","530 LONDON ROAD","","THORNTON HEATH","","CR7 7YE","19930401","","","","","","","020 8401 3000","","","","1","","H","","",""
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","Y56","QWE","ST GEORGE'S HOSPITAL","BLACKSHAW ROAD","TOOTING","LONDON","","SW17 0QT","19930401","","","","","","","020 8672 1255","","","","1","","H","","",""
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","Y58","QT6","CAREW HOUSE","BEACON TECHNOLOGY PARK","DUNMERE ROAD","BODMIN","","PL31 2QN","19930401","","","","","","","01208 834600","","","","1","","K","","",""
"RJC","SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST","Y60","QWU","WARWICK HOSPITAL","LAKIN ROAD","","WARWICK","","CV34 5BW","19930401","","","","","","","01926 495321","","","","1","","F","","",""
"RJD","MID STAFFORDSHIRE NHS FOUNDATION TRUST","Y60","QNC","STAFFORD HOSPITAL","WESTON ROAD","","STAFFORD","","ST16 3SA","19930401","20171031","","","","","","01785 257731","","","","1","","F","","",""
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","Y60","QNC","NEWCASTLE ROAD","","","STOKE-ON-TRENT","","ST4 6QG","19930401","","","","","","","01782 715444","","","","1","","F","","",""
"RJF","BURTON HOSPITALS NHS FOUNDATION TRUST","Y60","QNC","QUEEN'S HOSPITAL","BELVEDERE ROAD","","BURTON-ON-TRENT","","DE13 0RB","19930401","20180630","","","","","","01283 566333","","","","1","","F","","",""
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","Y63","QOQ","DIANA PRINCESS OF WALES HOSPITAL","SCARTHO ROAD","","GRIMSBY","","DN33 2BA","20010401","","","","","","","01472 874111","","","","1","","D","","",""
"RJN","EAST CHESHIRE NHS TRUST","Y62","QYG","MACCLESFIELD DISTRICT HOSPITAL","VICTORIA ROAD","","MACCLESFIELD","","SK10 3BL","19930401","","","","","","","01625 661449","","","","1","","B","","",""
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","Y62","QYG","COUNTESS OF CHESTER HEALTH PARK","LIVERPOOL ROAD","","CHESTER","","CH2 1UL","19930401","","","","","","","01244 365000","","","","1","","B","","",""
"RJX","CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST","Y62","QE1","MITTON ROAD","","WHALLEY","CLITHEROE","","BB7 9PE","19930401","20160630","","","","","","01253 822121","","","","1","","B","","",""
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","Y56","QKK","DENMARK HILL","","","LONDON","","SE5 9RS","19930401","","","","","","","020 3299 9000","","","","1","","H","","",""
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","Y60","QT1","KINGS MILL HOSPITAL","MANSFIELD ROAD","","SUTTON-IN-ASHFIELD","","NG17 4JL","19940401","","","","","","","01623 622515","","","","1","","E","","",""
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","Y58","QJK","DERRIFORD HOSPITAL","DERRIFORD ROAD","DERRIFORD","PLYMOUTH","","PL6 8DH","19940401","","","","","","","01752 202082","","","","1","","K","","",""
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","Y60","QWU","WALSGRAVE GENERAL HOSPITAL","CLIFFORD BRIDGE ROAD","","COVENTRY","","CV2 2DX","19930401","","","","","","","024 7696 4000","","","","1","","F","","",""
"RKE","WHITTINGTON HEALTH NHS TRUST","Y56","Z9B2Z","THE WHITTINGTON HOSPITAL","MAGDALA AVENUE","","LONDON","","N19 5NF","19930401","","","","","","","020 7272 3070","","","","1","","H","","",""
"RKL","WEST LONDON NHS TRUST","Y56","Z9B2Z","1 ARMSTRONG WAY","","","SOUTHALL","","UB2 4SD","20010401","","","","","","","020 8354 8354","","","","1","","H","","",""
